service_class,resource_path,sdk_source_file
TableService,/v1/tables,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/dataassets/TableService.java
TagService,/v1/tags,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/classification/TagService.java
TeamService,/v1/teams,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/teams/TeamService.java
TestCaseService,/v1/dataQuality/testCases,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/tests/TestCaseService.java
TestDefinitionService,/v1/dataQuality/testDefinitions,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/tests/TestDefinitionService.java
TestSuiteService,/v1/dataQuality/testSuites,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/tests/TestSuiteService.java
TopicService,/v1/topics,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/dataassets/TopicService.java
UserService,/v1/users,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/teams/UserService.java
WorkflowDefinitionService,/v1/governance/workflowDefinitions,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/governance/WorkflowDefinitionService.java
WorkflowService,/v1/automations/workflows,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/automations/WorkflowService.java
WorksheetService,/v1/drives/worksheets,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/drives/WorksheetService.java
WorksheetService,/v1/drives/worksheets,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/storages/WorksheetService.java
